"sku","part_type","attribute_set","type","visibility","status","name","description","manufacturer","part_number","part_number_short","categories","ti_part_sku","interchanges","bill_of_materials","price","quantity","turbo_model","turbo_type","image","media_gallery","kit_type","gasket_type","seal_type","cool_type","turbo_model_name","finder:1","bearing_type","bore_oe","compressor_housing_diameter","compressor_wheel_diameter","design_features","exduce_oa","exducer_oc","hub_length_d","i_gap_max","i_gap_min","inducer_diameter","inducer_oa","inducer_oc","inside_diameter","inside_diameter_max","inside_diameter_min","journal_od","number_of_blades","oil","oil_inlet","oil_outlet","outlet_flange_holes","outside_diameter_max","outside_diameter_min","outside_dim_max","outside_dim_min","overall_diameter","overall_height","oversize_id","piston_ring_diameter","secondary_diameter","shaft_thread_f","standard_size_id","stem_oe","style_compressor_wheel","tip_height_b","water_ports","width_max","width_min","customerprice","group_price:ERP_PL_0","group_price:ERP_PL_1","group_price:ERP_PL_2","group_price:ERP_PL_3","group_price:ERP_PL_4","group_price:ERP_PL_5","group_price:ERP_PL_E","group_price:ERP_PL_R","group_price:ERP_PL_W","tier_price:ERP_PL_0","tier_price:ERP_PL_1","tier_price:ERP_PL_2","tier_price:ERP_PL_3","tier_price:ERP_PL_4","tier_price:ERP_PL_5","tier_price:ERP_PL_E","tier_price:ERP_PL_R","tier_price:ERP_PL_W","application"
"2448","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","I.H.I.","NE910017","NE910017","Manufacturer/I.H.I.;;Part Type/cartridge","","","","","","RHB31A-30004P7NRBRAS245AZ","RHB3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2449","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","I.H.I.","NE960011","NE960011","Manufacturer/I.H.I.;;Part Type/cartridge","","","","","","RHC61B-574AP16NABRS432AZ","RHC6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2450","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Schwitzer","199246","199246","Manufacturer/Schwitzer;;Part Type/cartridge","","","","","","S3A057,S3A074,S3A","S3A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2451","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Garrett","408105-0208","4081050208","Manufacturer/Garrett;;Part Type/cartridge","","","","","","TO4B27","TO4B","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2452","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Schwitzer","167368","167368","Manufacturer/Schwitzer;;Part Type/cartridge","","","","","","S4DW-035","S4DW","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2453","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","KKK","5304-710-0520","53047100520","Manufacturer/KKK;;Part Type/cartridge","","","","","","K04-2072DCBHA/5.82","K04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2454","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Holset","3523315","3523315","Manufacturer/Holset;;Part Type/cartridge","","","","","","H1C","H1C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2455","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Mitsubishi","49182-09860","4918209860","Manufacturer/Mitsubishi;;Part Type/cartridge","","","","","","TD13","TD13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2456","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Mitsubishi","49182-09650","4918209650","Manufacturer/Mitsubishi;;Part Type/cartridge","","","","","","TD13,TD13-51F","TD13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2457","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Garrett","409853-0034","4098530034","Manufacturer/Garrett;;Part Type/cartridge","6283","6283","[{""sku"":42143,""quantity"":1,""ti_part_sku"":[42753]},{""sku"":44732,""quantity"":1,""ti_part_sku"":[45049]},{""sku"":43877,""quantity"":1,""ti_part_sku"":[44636]},{""sku"":44731,""quantity"":1,""ti_part_sku"":[45049]},{""sku"":42859,""quantity"":1,""ti_part_sku"":[43733]},{""sku"":45141,""quantity"":1,""ti_part_sku"":[45308]}]","","","TB0364,TA0309","T3","","","","","","","","Land Rover,1984,SANTANA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Land Rover,1984,SANTANA"
