id	part	cd_a_length_across_thrust_bearing	cd_a_length_across_thrust_bearing_tol	cd_b_oal	cd_b_oal_tol	cd_c_te_thrust_dia	cd_c_te_thrust_dia_tol	cd_d_ce_thrust_dia	cd_d_ce_thrust_dia_tol	cd_e_bore_dia	cd_e_bore_dia_tol	cd_f_piston_ring_groove_1_major_dia	cd_f_piston_ring_groove_1_major_dia_tol	cd_g_piston_ring_groove_1_minor_dia	cd_g_piston_ring_groove_1_minor_dia_tol	cd_h_piston_ring_groove_1_width	cd_h_piston_ring_groove_1_width_tol	cd_k_piston_ring_groove_2_major_dia	cd_k_piston_ring_groove_2_major_dia_tol	cd_l_piston_ring_groove_2_minor_dia	cd_l_piston_ring_groove_2_minor_dia_tol	cd_m_piston_ring_groove_2_width	cd_m_piston_ring_groove_2_width_tol	cd_i_ce_flinger_dia	cd_j_te_flinger_dia	cd_num_flinger_holes_ce_row	cd_dia_flinger_holes_ce_row	cd_num_flinger_holes_te_row	cd_dia_flinger_holes_te_row	cd_material	cd_weight	cd_diagram_
73	8-D-3628	0.1190	0.0005	0.3860	0.0050	-99.000	0.005	0.549	0.005	0.1620	0.0005	0.371	0.003	0.305	0.005	0.057	0.001	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	2
74	8-D-4105	0.1190	0.0005	0.3860	0.0050	-99.000	0.005	0.549	0.005	0.1620	0.0005	0.371	0.003	0.305	0.005	0.045	0.001	0.371	0.003	0.305	0.005	0.045	0.001	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	2
75	8-D-4525	0.1185	0.0005	0.4408	0.0050	-99.000	0.005	0.476	0.005	0.1818	0.0005	0.369	0.003	0.304	0.005	0.056	0.001	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	2
76	8-D-5580	0.2190	0.0005	0.5380	0.0050	-99.000	0.005	1.013	0.005	0.3127	0.0005	0.605	0.003	0.540	0.005	0.063	0.001	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	2
77	8-D-5731	0.1580	0.0005	0.6210	0.0050	-99.000	0.005	0.767	0.005	0.3127	0.0005	0.528	0.003	0.435	0.005	0.060	0.001	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	2
78	8-D-5737	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
79	8-E-0120	0.1100	0.0005	0.1700	0.0050	0.485	0.005	-99.000	0.005	0.1973	0.0005	-99.000	0.003	-99.000	0.005	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	3
80	8-E-0658	0.1100	0.0005	0.1700	0.0050	0.579	0.005	-99.000	0.005	0.2566	0.0005	-99.000	0.003	-99.000	0.005	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	3
81	8-E-2784	0.1100	0.0005	0.1710	0.0050	0.428	0.005	-99.000	0.005	0.1581	0.0005	-99.000	0.003	-99.000	0.005	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	3
82	8-E-2826	0.1100	0.0005	0.1700	0.0050	0.663	0.005	-99.000	0.005	0.2768	0.0005	-99.000	0.003	-99.000	0.005	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	3
83	8-E-2896	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
84	8-F-0772	0.1590	0.0005	0.2105	0.0050	0.535	0.005	-99.000	0.005	0.2013	0.0005	-99.000	0.003	-99.000	0.005	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	3
85	8-F-1588	0.1800	0.0005	0.2400	0.0050	0.797	0.005	-99.000	0.005	0.3118	0.0005	-99.000	0.003	-99.000	0.005	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	3
86	8-F-1697	0.1600	0.0005	0.2500	0.0050	0.750	0.005	-99.000	0.005	0.2799	0.0005	-99.000	0.003	-99.000	0.005	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	3
87	8-F-1722	0.1590	0.0005	0.2190	0.0050	0.672	0.005	-99.000	0.005	0.2638	0.0005	-99.000	0.003	-99.000	0.005	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	3
88	8-F-2430	0.1610	0.0005	0.2190	0.0050	0.752	0.005	-99.000	0.005	0.2798	0.0005	-99.000	0.003	-99.000	0.005	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	3
89	8-F-2590	0.1430	0.0005	0.1860	0.0050	0.452	0.005	-99.000	0.005	0.1737	0.0005	-99.000	0.003	-99.000	0.005	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	3
90	8-F-3563	0.3450	0.0005	0.5750	0.0050	-99.000	0.005	0.629	0.005	0.3036	0.0005	0.526	0.003	0.435	0.005	0.057	0.001	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	2
91	8-F-3690	0.2070	0.0005	0.3850	0.0050	-99.000	0.005	0.462	0.005	0.2013	0.0005	0.368	0.003	0.297	0.005	0.041	0.001	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	2
92	8-F-3895	0.1730	0.0005	0.3160	0.0050	-99.000	0.005	0.377	0.005	0.1739	0.0005	0.295	0.003	0.241	0.005	0.033	0.001	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	2
