id	part	cd_max_thickness_a	cd_min_thickness_a	cd_od_b	cd_od_b_tol	cd_id_c	cd_id_c_tol	cd_num_ramps_te	cd_num_ramps_ce	cd_degrees_of_ramps	cd_te_ramp_dia_d	cd_te_ramp_dia_d_tol	cd_ce_ramp_dia_e	cd_ce_ramp_dia_e_tol	cd_te_ramp_drain_dia_f	cd_te_ramp_drain_dia_f_tol	cd_ce_ramp_drain_dia_g	cd_ce_ramp_drain_dia_g_tol	cd_material	cd_weight	cd_num_locating_holes	cd_dia_locating_holes	cd_rotation	cd_diagram_
50	8-C-3489	0.2120	0.2110	2.120	0.005	0.569	0.005	3	3	270	0.863	0.005	0.863	0.005	0.955	0.005	0.955	0.005	20390	NULL	1	0.125	20336	NULL
51	8-C-3499	0.2120	0.2110	2.745	0.005	0.668	0.005	3	3	270	1.031	0.005	1.031	0.005	1.205	0.005	1.205	0.005	20390	NULL	1	0.208	20336	NULL
52	8-C-3770	0.2120	0.2110	2.740	0.005	0.582	0.005	3	3	360	0.920	0.005	0.920	0.005	1.402	0.005	1.402	0.005	20390	NULL	1	0.217	20336	NULL
53	8-C-3823	0.1730	0.1720	2.123	0.005	0.433	0.005	3	3	360	0.693	0.005	0.693	0.005	-99.000	0.005	-99.000	0.005	20393	NULL	1	0.118	20336	NULL
54	8-C-4153	0.1410	0.1400	1.492	0.005	0.398	0.005	3	3	270	0.650	0.005	0.650	0.005	0.650	0.005	0.650	0.005	20390	NULL	1	0.108	20336	NULL
55	8-C-5691	0.1740	0.1730	2.120	0.005	0.448	0.005	6	6	360	0.716	0.005	0.716	0.005	0.925	0.005	0.925	0.005	20389	NULL	1	0.133	20335	NULL
56	8-C-6213	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
57	8-C-6217	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
58	8-D-0403	0.1552	0.1542	1.571	0.005	0.453	0.005	3	3	270	0.740	0.005	0.740	0.005	0.874	0.005	0.874	0.005	20390	NULL	2	0.132	20336	NULL
59	8-D-1706	0.1552	0.1542	1.569	0.005	0.427	0.005	6	6	360	0.756	0.005	0.756	0.005	0.866	0.005	0.866	0.005	20390	NULL	2	0.126	20336	NULL
