id	part	cd_water_cooled	cd_ce_dia_a	cd_ce_dia_a_tol	cd_ce_dia_b	cd_ce_dia_b_tol	cd_ce_dia_c	cd_ce_dia_c_tol	cd_cwc_dia	cd_cwc_dia_tol	cd_bore_dia_max	cd_bore_dia_min	cd_pr_bore_dia	cd_pr_bore_dia_tol	cd_single_dual_oil_feed	cd_spinning_bearing	cd_oil_inlet_thread	cd_oil_drain_thread	cd_oil_drain_flange_thread	cd_coolant_port_thread_1	cd_coolant_port_thread_2	cd_te_dia_d	cd_te_dia_d_tol	cd_te_dia_e	cd_te_dia_e_tol	cd_te_dia_f	cd_te_dia_f_tol	cd_arm_angle	cd_quadrant	cd_oal	cd_oal_tol	cd_weight	cd_diagram_	cd_oil_inlet_flange_thread	cd_lead_in_chmfr_angle	cd_lead_in_chmfr_len
178	4-D-3963	0	3.343	0.005	3.090	0.005	1.340	0.005	1.850	0.005	0.3784	0.3780	0.394	0.001	19721	1	20939	20411	20909	20411	20411	3.728	0.005	3.480	0.005	1.623	0.005	NULL	21066	2.114	0.005	868.7	NULL	20411	NULL	NULL
179	4-D-3967	0	3.855	0.005	3.698	0.005	1.340	0.005	1.850	0.005	0.3784	0.3780	0.394	0.001	19721	1	20939	20411	20909	20411	20411	1.967	0.005	1.450	0.005	0.550	0.005	-99.0	21065	2.155	0.005	901.5	NULL	20411	NULL	NULL
180	4-D-3968	0	3.855	0.005	3.698	0.005	1.340	0.005	1.850	0.005	0.3784	0.3780	0.394	0.001	19721	1	20939	21009	20411	20411	20411	1.967	0.005	1.450	0.005	0.550	0.005	-99.0	21065	2.155	0.005	860.0	NULL	20411	NULL	NULL
181	4-D-4459	0	3.343	0.005	3.090	0.005	1.340	0.005	1.852	0.005	0.3784	0.3780	0.394	0.001	19721	1	20939	20411	20909	20411	20411	3.730	0.005	3.343	0.005	1.627	0.005	20.0	21066	2.114	0.005	817.2	NULL	20411	20.0	0.040
182	4-D-4638	0	4.440	NULL	3.285	NULL	NULL	NULL	-99.000	NULL	NULL	NULL	NULL	NULL	19721	NULL	20945	20945	NULL	20411	NULL	3.983	NULL	4.243	NULL	2.107	NULL	NULL	21066	2.050	NULL	2056.0	NULL	NULL	NULL	NULL
183	4-D-4639	0	4.644	NULL	-99.000	NULL	NULL	NULL	1.850	NULL	NULL	NULL	NULL	NULL	19721	NULL	NULL	NULL	NULL	NULL	NULL	-99.000	NULL	3.730	NULL	1.624	NULL	NULL	21066	2.116	NULL	NULL	NULL	NULL	NULL	NULL
184	4-D-4641	1	4.445	NULL	3.148	NULL	NULL	NULL	-99.000	NULL	NULL	NULL	NULL	NULL	19721	NULL	20943	20909	NULL	20963	NULL	-99.000	NULL	4.191	NULL	1.855	NULL	NULL	21069	2.075	NULL	1391.0	NULL	NULL	NULL	NULL
185	4-D-4885	0	3.344	NULL	3.085	NULL	NULL	NULL	1.851	NULL	NULL	NULL	NULL	NULL	19721	NULL	20939	20909	NULL	20411	NULL	-99.000	NULL	3.730	NULL	1.625	NULL	NULL	21069	2.123	NULL	850.0	NULL	NULL	NULL	NULL
186	4-D-4886	0	3.343	NULL	3.085	NULL	NULL	NULL	1.851	NULL	NULL	NULL	NULL	NULL	19721	NULL	20939	20909	NULL	20411	NULL	-99.000	NULL	3.730	NULL	1.625	NULL	NULL	21069	2.123	NULL	848.0	NULL	NULL	NULL	NULL
187	4-D-4980	0	3.850	NULL	-99.000	NULL	NULL	NULL	1.851	NULL	NULL	NULL	NULL	NULL	19721	NULL	20939	20909	NULL	20411	NULL	-99.000	NULL	3.730	NULL	1.625	NULL	NULL	21067	2.123	NULL	1044.0	NULL	NULL	NULL	NULL
